customer_id,customer_tier,country,is_active
1000,bronze,UK,1
1001,bronze,UK,1
1002,silver,IN,1
1003,bronze,US,1
1004,gold,CA,1
1005,gold,US,1
1006,bronze,AU,1
1007,gold,CA,0
1008,platinum,AU,1
1009,silver,US,0
1010,silver,US,0
1011,silver,AU,1
1012,bronze,US,1
1013,bronze,US,1
1014,silver,AU,1
1015,gold,DE,1
1016,silver,US,1
1017,bronze,DE,1
1018,bronze,AU,1
1019,bronze,CA,1
1020,silver,CA,1
1021,silver,IN,1
1022,gold,UK,1
1023,bronze,CA,1
1024,bronze,DE,0
1025,platinum,DE,1
1026,gold,AU,1
1027,gold,AU,1
1028,bronze,AU,1
1029,bronze,AU,1
1030,silver,IN,1
1031,gold,UK,1
1032,bronze,AU,1
1033,silver,DE,1
1034,silver,IN,1
1035,gold,IN,1
1036,silver,UK,1
1037,bronze,DE,1
1038,silver,CA,1
1039,gold,CA,1
1040,gold,US,1
1041,platinum,AU,1
1042,bronze,AU,1
1043,gold,US,1
1044,silver,DE,1
1045,bronze,CA,1
1046,gold,US,0
1047,gold,US,0
1048,bronze,CA,1
1049,silver,AU,1
1050,bronze,IN,1
1051,silver,CA,1
1052,bronze,IN,1
1053,bronze,AU,1
1054,silver,IN,1
1055,silver,IN,1
1056,gold,CA,1
1057,gold,DE,1
1058,bronze,US,1
1059,bronze,DE,1
1060,bronze,IN,1
1061,bronze,DE,1
1062,gold,CA,1
1063,silver,AU,1
1064,silver,IN,1
1065,platinum,DE,1
1066,bronze,US,1
1067,silver,AU,1
1068,gold,AU,1
1069,bronze,IN,1
1070,silver,DE,1
1071,gold,UK,1
1072,silver,DE,1
1073,silver,IN,1
1074,gold,DE,1
1075,bronze,UK,1
1076,gold,IN,1
1077,silver,DE,1
1078,bronze,UK,1
1079,silver,UK,1
1080,gold,CA,1
1081,gold,AU,1
1082,silver,CA,1
1083,gold,UK,1
1084,bronze,CA,1
1085,gold,AU,1
1086,gold,IN,1
1087,gold,UK,1
1088,silver,CA,1
1089,bronze,UK,1
1090,bronze,IN,1
1091,platinum,IN,0
1092,bronze,US,1
1093,gold,US,1
1094,gold,DE,1
1095,silver,UK,1
1096,gold,IN,1
1097,bronze,AU,1
1098,bronze,DE,1
1099,bronze,CA,1
1100,bronze,US,1
1101,gold,US,1
1102,silver,CA,1
1103,gold,CA,0
1104,bronze,IN,1
1105,silver,DE,1
1106,bronze,UK,1
1107,gold,CA,0
1108,silver,AU,1
1109,silver,UK,1
1110,bronze,CA,1
1111,bronze,CA,1
1112,gold,AU,1
1113,bronze,IN,1
1114,gold,UK,0
1115,bronze,IN,1
1116,bronze,DE,1
1117,gold,US,1
1118,bronze,DE,1
1119,bronze,US,1
1120,gold,UK,1
1121,bronze,CA,1
1122,gold,US,1
1123,bronze,AU,1
1124,silver,DE,0
1125,bronze,AU,1
1126,silver,UK,1
1127,platinum,AU,0
1128,bronze,AU,1
1129,gold,AU,0
1130,gold,AU,1
1131,silver,AU,0
1132,silver,CA,0
1133,silver,IN,1
1134,bronze,AU,1
1135,bronze,IN,1
1136,bronze,UK,1
1137,bronze,CA,1
1138,silver,UK,1
1139,silver,UK,1
1140,bronze,UK,1
1141,gold,DE,1
1142,silver,UK,1
1143,bronze,UK,1
1144,gold,UK,0
1145,bronze,CA,1
1146,gold,DE,1
1147,bronze,DE,1
1148,bronze,DE,1
1149,gold,IN,1
1150,gold,DE,1
1151,bronze,IN,1
1152,silver,AU,1
1153,bronze,UK,1
1154,gold,CA,1
1155,bronze,IN,1
1156,gold,UK,1
1157,silver,US,1
1158,bronze,AU,1
1159,bronze,AU,1
1160,silver,US,1
1161,gold,US,1
1162,bronze,UK,1
1163,bronze,CA,1
1164,silver,CA,1
1165,bronze,DE,1
1166,silver,DE,0
1167,bronze,UK,1
1168,bronze,DE,1
1169,silver,AU,1
1170,gold,UK,1
1171,bronze,DE,1
1172,bronze,AU,1
1173,bronze,CA,0
1174,silver,AU,1
1175,silver,DE,1
1176,silver,IN,1
1177,gold,AU,1
1178,bronze,UK,1
1179,silver,UK,1
1180,bronze,CA,1
1181,bronze,CA,1
1182,silver,UK,0
1183,bronze,DE,1
1184,gold,US,1
1185,silver,US,1
1186,platinum,US,0
1187,silver,UK,1
1188,gold,US,1
1189,bronze,DE,1
1190,bronze,AU,1
1191,gold,US,1
1192,silver,UK,1
1193,bronze,CA,1
1194,bronze,US,1
1195,gold,UK,1
1196,bronze,UK,0
1197,gold,DE,1
1198,bronze,IN,0
1199,gold,CA,1
1200,silver,US,1
1201,gold,AU,1
1202,bronze,UK,1
1203,bronze,CA,1
1204,gold,DE,1
1205,gold,CA,1
1206,silver,UK,1
1207,silver,IN,1
1208,bronze,DE,1
1209,bronze,IN,1
1210,gold,AU,0
1211,gold,US,1
1212,silver,AU,1
1213,bronze,UK,1
1214,bronze,UK,1
1215,bronze,US,1
1216,bronze,AU,1
1217,bronze,CA,1
1218,gold,CA,1
1219,silver,AU,1
1220,gold,UK,1
1221,bronze,AU,1
1222,bronze,AU,1
1223,silver,DE,1
1224,gold,DE,1
1225,bronze,DE,1
1226,silver,US,1
1227,silver,IN,1
1228,gold,DE,1
1229,gold,IN,1
1230,gold,UK,1
1231,bronze,US,1
1232,gold,AU,0
1233,gold,DE,0
1234,silver,CA,1
1235,silver,IN,1
1236,bronze,UK,0
